gene,logFC,pvals,adj_pvals,cluster
INPP5K,2.4158947,0.007213122305594193,0.038184238518297796,7
TASOR,3.556508,0.0072455969691950835,0.03833195077977481,7
PCGF5,1.4806775,0.007193195097145746,0.038096787739359775,7
MIAT,2.9737768,0.007283007870621068,0.038517717910517384,7
TRAF1,3.1322896,0.007349539776684878,0.038838965440332045,7
RSAD2,2.4121952,0.007368134519050692,0.03892496454614573,7
CNPY3,1.2550445,0.007335408629888164,0.038770397235278746,7
ANTKMT,3.2474442,0.007476062536159602,0.03943302618734537,7
NRROS,4.0664144,0.007495065922095029,0.039527044983174435,7
ZC3H12D,4.726551,0.007559772041303005,0.03982445642175971,7
C1orf50,2.7083316,0.007598867982109823,0.04002294818566618,7
PIKFYVE,2.200357,0.007599990770579329,0.04002294818566618,7
LIN37,3.8094554,0.007665721045612174,0.04033191366131419,7
RALGDS,2.0251791,0.007638388612535785,0.04019441362614728,7
PBXIP1,1.9937904,0.007672627070274353,0.040355587982448184,7
RASA3,2.9212215,0.007775456966891776,0.04083880396594379,7
UBASH3A,6.6061687,0.007824262099600554,0.041062990937678324,7
CARD11,3.9152367,0.007850376995104743,0.0411549694893417,7
