cluster,gene,logFC,pvals,adj_pvals
3,KCNE4,5.488303,2.841114117513313e-41,8.44276649314161e-39
3,RHOBTB3,4.788219,1.6868654229391308e-40,4.704278387941173e-38
3,MRPS30-DT,5.5755854,2.2264986999619434e-38,5.454019180298669e-36
3,COX6C,3.0783088,3.76489282412842e-48,2.132694131967996e-45
3,BTF3,1.5323106,6.652093245047995e-53,6.02912471264925e-50
3,PIP,6.3816895,3.470381229252723e-38,8.16981825229404e-36
3,SLC39A6,3.609761,1.8148058558718812e-41,5.482830958231599e-39
3,RPL13A,1.4410236,1.9240831115490055e-60,2.491275325932059e-57
3,CST5,12.235767,1.4369887363803709e-33,2.3680268022151805e-31
3,RPL10A,1.258721,3.733445090320421e-51,2.8198399646765946e-48
3,XBP1,2.6000526,3.1923802650858177e-44,1.2312399375576727e-41
3,AGR3,4.290385,1.1648820712275772e-35,2.132910838903262e-33
3,BST2,2.831897,4.041530939970408e-38,9.273522955549821e-36
3,RPS18,1.2316107,1.670722268074766e-46,8.412550709275357e-44
3,RPS14,1.0787001,8.130408136781265e-43,2.679634696280618e-40
3,IFI27,3.3828921,2.8890574262370145e-38,6.890782100710312e-36
3,HSPB1,2.3587604,2.6376580965398018e-37,5.625038625409058e-35
3,TMSB4X,1.6223441,1.2334402151814661e-42,3.992601925106149e-40
3,RPS27L,2.0288703,2.453350134043652e-33,3.9707033821258285e-31
3,RPL27A,1.1342726,6.113391199479275e-37,1.2451398008197845e-34
3,KCNJ3,6.8703194,2.0379897936564123e-26,1.7675904779717602e-24
3,H3F3A,1.4882153,2.263198462186048e-37,4.883928395719821e-35
3,GATA3,2.757925,1.2292225061493315e-29,1.4013909666018197e-27
3,EIF3H,2.0571685,1.7114448428519205e-29,1.91502226335659e-27
3,RPS5,1.0358537,6.37044594162076e-36,1.1783374855485666e-33
3,MT-CO3,1.4918313,8.68461010159642e-45,3.8396567636984954e-42
3,MGST1,2.5326264,1.1048572292920983e-28,1.1644038950801084e-26
3,MT-CYB,1.4037099,1.979855941303246e-42,6.187732525517921e-40
3,CRABP2,2.652178,3.3524780346695483e-28,3.3864525150059405e-26
3,MT-CO2,1.4845605,1.2010359941032367e-41,3.690030417815148e-39
3,RPL23A,1.0886531,4.928512827701596e-35,8.590303079591041e-33
3,AGR2,3.65583,5.860698321289991e-26,4.873251305964389e-24
3,ADIRF,2.3185143,5.448233899473035e-29,5.87857951760403e-27
3,S100A13,2.2277782,1.5809490184302372e-26,1.384437819182846e-24
3,GLRX,3.053778,1.1735538334285024e-24,8.900841145840361e-23
3,CST3,1.8543444,7.023693202617678e-29,7.44552553706729e-27
3,ENSA,2.15173,3.027077213670846e-25,2.3961497228039926e-23
3,KRT19,2.0771787,6.831114204153683e-30,8.093307658738159e-28
3,PKIB,3.194201,6.946439995662572e-24,4.6809709219842175e-22
3,H2AFJ,2.2652085,2.4953946539898695e-25,1.983948197055893e-23
3,MRPS30,3.513516,4.3985147560496813e-23,2.7305437322915268e-21
