group	gene	logFC	pvals	adj_pvals
28	TSPYL4	1.0779976	1.5394185871682465e-15	1.0576924547343564e-14
28	ATAD1	1.0734214	1.5564334351345768e-15	1.0684620685451686e-14
28	PON2	1.1140399	1.568887380022376e-15	1.0767024237588284e-14
28	C17orf107	2.5985644	1.6096369021970262e-15	1.1040345795768935e-14
28	GULP1	2.0180843	1.6231372678840734e-15	1.1129751730499822e-14
28	NFX1	1.1501538	1.7373738525638214e-15	1.1896012147657864e-14
28	ZNF286A	1.7262707	2.0501475111975347e-15	1.4009536578660412e-14
28	IPW	2.407665	2.098066639102464e-15	1.4316536321658666e-14
28	SHOX2	1.2973262	2.021653248716048e-15	1.3822721769451603e-14
28	VEZF1	1.0592356	2.0507394586187384e-15	1.4009578872260604e-14
28	PRH1-PRR4	1.8781598	2.0912799822574477e-15	1.427837377552137e-14
28	TENC1	1.1465634	2.0941068693417703e-15	1.4293594176383307e-14
28	SIRT3	1.3503538	2.3290891189316748e-15	1.5883896338035036e-14
28	LOC729852	2.2600193	2.5262617188094482e-15	1.7194252000217866e-14
28	ZSCAN30	2.4452615	2.587212347996222e-15	1.7589072691024912e-14
28	MR1	1.6009177	2.5559267579994364e-15	1.7386262875731663e-14
28	SENP7	1.1728001	2.5917714245286505e-15	1.7615060289983443e-14
28	CABP4	1.0622916	2.536539310629397e-15	1.7259291804359402e-14
28	ADAMTSL4	2.3667557	2.913341021695724e-15	1.9766915522240176e-14
28	CIT	2.5043263	2.9186860087634282e-15	1.979756473953344e-14
28	HYDIN	2.5852714	2.987225307546128e-15	2.0239509257954885e-14
28	LOC349196	3.0306292	3.0094667664108613e-15	2.038442839202735e-14
28	NSF	1.3841347	3.0599854340421125e-15	2.0720745080969763e-14
28	TLCD2	2.1128225	3.161826292465955e-15	2.1386142374691245e-14
28	ZNF805	1.5804642	3.1347416889292864e-15	2.121494538034005e-14
28	IFT122	2.776226	3.190813915812451e-15	2.157001029521944e-14
28	ANXA4	1.1145185	3.147468478261777e-15	2.1295050521806762e-14
28	EIF4EBP3	2.1491933	3.227013604858354e-15	2.1808557329018723e-14
28	CECR7	1.9618113	3.63242618003349e-15	2.4465428596975777e-14
28	INPP5B	1.7082332	3.642826160686415e-15	2.4514764570944563e-14
28	RFTN2	1.6350222	3.692969896875946e-15	2.4838234258600113e-14
28	ASCC1	1.4915632	3.705998375615072e-15	2.4918853851443823e-14
28	GSTA4	1.0788684	3.819464418033708e-15	2.5644212923266885e-14
28	MAT2B	1.0295968	3.787100952289047e-15	2.543557806118987e-14
28	SEPT10	1.1502366	3.8538384226218745e-15	2.5854769580321844e-14
28	FRMD6	1.4559933	4.075585170299399e-15	2.7288849529129543e-14
28	VPS52	1.2101719	4.050108190399541e-15	2.7125857628055395e-14
28	PSMG1	1.244735	4.210798819847065e-15	2.8146918774254402e-14
28	HERC2P3	2.0074546	4.272834903578101e-15	2.8545640332088667e-14
28	OSR2	1.4820982	4.31436086328347e-15	2.8806970621761796e-14
28	EFEMP1	2.4509819	4.49547654043067e-15	2.999952913434161e-14
28	SPPL2A	1.2033458	4.4970921154731946e-15	3.000193922615687e-14
28	MYO15B	1.1636066	4.569542781886664e-15	3.047678603301264e-14
28	PLEKHM1	1.4978287	4.8614447875177785e-15	3.23694807859306e-14
28	SLC39A9	1.1552314	5.191526808130392e-15	3.451925122881695e-14
28	SGSH	1.960822	5.445358331615997e-15	3.618689503119194e-14
28	DPT	3.3126013	5.894279723327691e-15	3.912669668132899e-14
28	S100PBP	1.3894151	6.042362643773436e-15	4.0076313741300405e-14
28	HARS2	1.9908042	6.364364572665961e-15	4.215356064371415e-14
28	LZTFL1	2.2658317	6.516806550042625e-15	4.3132967892633466e-14
28	LY6G5B	2.8133037	6.570693440186682e-15	4.347199861934851e-14
28	DSC3	1.3534468	6.1993348160548455e-15	4.1094648224940066e-14
28	GLIS1	2.7034917	6.777593590593366e-15	4.4828458491764816e-14
28	PLS3	1.2164484	6.8664922385988376e-15	4.5391347393744724e-14
