gene	logFC	pvals	adj_pvals	cluster
IL18R1	3.5076344	1.497699218622375e-17	4.297558733493186e-17	15
BTN3A1	2.6381788	2.156002178515914e-17	6.160006224331184e-17	15
TNFRSF18	4.405652	3.090359793028356e-17	8.804443854781642e-17	15
TIGIT	4.41678	4.8204940112327276e-17	1.3675160315553837e-16	15
FERMT3	2.4903622	6.507503632018037e-17	1.84087797228233e-16	15
CD226	4.272032	8.761262228138124e-17	2.4679611910248238e-16	15
ANXA1	1.3070557	8.032385683924823e-17	2.265835171770049e-16	15
AMICA1	2.9171019	9.877667302359916e-17	2.771522105299599e-16	15
NAMPT	1.5436842	9.88047630539307e-17	2.771522105299599e-16	15
CASP4	1.9398261	1.2965566596332268e-16	3.631811371521644e-16	15
TES	2.2922115	3.6120960132651554e-16	1.0033600036847653e-15	15
IL21R	3.1970823	4.875707407421287e-16	1.3468804992876484e-15	15
FAS	2.4825478	4.929826359670966e-16	1.359952099219577e-15	15
ARHGEF3	2.306701	6.919697852477541e-16	1.9036307709704377e-15	15
CLEC2B	1.9265612	8.732109565576243e-16	2.3989311993341327e-15	15
GPR174	4.184598	1.0878673258858426e-15	2.9804584270845005e-15	15
ARHGAP25	2.5840108	1.3431842223246245e-15	3.674922632899109e-15	15
CASP1	2.652394	1.5386146594800035e-15	4.203865189836075e-15	15
SUSD3	4.3749785	1.5998727556972485e-15	4.3652735489693006e-15	15
GRAP2	3.387223	1.6984963232567564e-15	4.628055376721407e-15	15
PRKCQ-AS1	5.5877357	1.9079411925682694e-15	5.191676714471481e-15	15
CTSC	1.6872865	2.0600967107800216e-15	5.590493109308064e-15	15
SLA2	2.592618	2.0998851158960044e-15	5.690745571533888e-15	15
TMEM243	1.9558936	2.2933773456957815e-15	6.206704589163144e-15	15
UPP1	2.17291	2.869387623447943e-15	7.703054022679042e-15	15
GLRX	2.3151555	5.0855146108973806e-15	1.357947826674868e-14	15
RUNX1-IT1	3.3297703	1.1406693717523246e-14	3.021640719873708e-14	15
CTLA4	6.393621	1.2630482906504266e-14	3.341397594313298e-14	15
MPZL3	3.9454787	2.0149271240912532e-14	5.2954720738272095e-14	15
LOC100507463	3.2018366	2.236958481725998e-14	5.863587108062904e-14	15
SAMD3	3.105639	4.251148066299071e-14	1.1099603306263893e-13	15
