names	scores	logFC	pvals	adj_pvals	cluster
FERMT3	7.2750826	3.7809367	9.449988743040388e-11	7.140635665753422e-10	2
NCKAP1L	7.2634406	4.2261863	1.0352817413165481e-10	7.728012190231607e-10	2
GM2A	7.2594547	3.8205154	1.0608474509101385e-10	7.902885748211616e-10	2
LIPA	7.2568817	3.0228872	9.945471477231996e-11	7.469210794384599e-10	2
HAVCR2	7.2444425	4.669216	1.1519548720907445e-10	8.530006517786174e-10	2
GIMAP4	7.2330437	2.930375	9.611940524267021e-11	7.248187803503396e-10	2
DOK2	7.2221823	3.41903	1.1364013298468887e-10	8.431732758602919e-10	2
PLTP	7.2169952	4.1866474	1.3192425700521136e-10	9.67182796893365e-10	2
CCL4	7.197684	3.739022	1.2776616199384126e-10	9.403617437032478e-10	2
PIK3AP1	7.1715775	5.058507	1.6722635246587584e-10	1.2115713183557081e-09	2
GPSM3	7.0528617	2.5204027	2.1365526477703875e-10	1.5359070104108135e-09	2
APBB1IP	7.018118	3.4101396	3.071162532018239e-10	2.153310352145615e-09	2
CXCL8	7.006835	3.3086748	2.9460011658052527e-10	2.0773805930630552e-09	2
GNA13	6.986699	2.9008515	3.5341149217911457e-10	2.468535848018579e-09	2
SLC8A1	6.96958	7.9209723	4.493334322549446e-10	3.109151745659214e-09	2
NABP1	6.8547506	3.069136	6.646671664294482e-10	4.506321431113414e-09	2
CASP1	6.801793	3.057789	8.422406106819777e-10	5.637824377662877e-09	2
PTPRE	6.7859545	2.5720477	8.396509802080393e-10	5.630690330070246e-09	2
TFEC	6.7830696	6.5834885	1.056652182240561e-09	6.997006834012317e-09	2
MYO1F	6.76172	4.0835476	1.0945442767221052e-09	7.234957249531626e-09	2
C3	6.721907	3.1488261	1.1954173375319192e-09	7.873559825633586e-09	2
ZNF331	6.694852	2.7339385	1.3337029108593348e-09	8.722180983407508e-09	2
CORO1A	6.6853266	2.189985	1.1137236410869534e-09	7.348587238957666e-09	2
FPR1	6.6794333	8.489838	1.7257026790629622e-09	1.1089515476761123e-08	2
XAF1	6.673707	2.5456429	1.3989730714803965e-09	9.132871906572552e-09	2
STAB1	6.6556773	6.1432314	1.909926033606445e-09	1.2188560784414188e-08	2
CELF2	6.5942516	2.449208	2.0167928257756246e-09	1.2782246125627674e-08	2
SLA	6.5735507	3.2618418	2.3920350532347274e-09	1.5108665849063794e-08	2
NCF1	6.560479	3.6122031	2.74339050103901e-09	1.7123020103613418e-08	2
CXCR4	6.556542	2.1232002	2.168988802925573e-09	1.372331100481163e-08	2
WIPF1	6.543912	2.4125793	2.474488756719204e-09	1.557621116878613e-08	2
HMOX1	6.5298786	2.5137725	2.5653133643220826e-09	1.609309487465211e-08	2
CLEC5A	6.527859	6.856958	3.4390443793442437e-09	2.1178781636128298e-08	2
DMXL2	6.5211573	4.1861243	3.3925355198093587e-09	2.0927243315017665e-08	2
CD300A	6.512755	6.8641286	3.696808854838131e-09	2.26529166146383e-08	2
CARD16	6.5117583	2.8285384	3.1502357329155224e-09	1.9530404417991367e-08	2
SPRED1	6.461964	3.1529884	4.225631410461589e-09	2.5680440890880875e-08	2
IFI44L	6.3993397	2.499805	5.073372794182967e-09	3.0284511267376514e-08	2
PTPN6	6.399294	2.5277903	4.964911259997133e-09	2.9829832692177897e-08	2
NPL	6.3792324	5.0587716	6.640114315912164e-09	3.919364600206941e-08	2
ADAM8	6.364517	4.403007	6.992798481489893e-09	4.1143933740613306e-08	2
TLR2	6.3414574	4.9244037	7.923659299981265e-09	4.632582454656768e-08	2
PLEKHO2	6.3102074	4.091185	8.835211552464745e-09	5.10893688362398e-08	2
CD48	6.284724	2.7066505	8.497004952972554e-09	4.9365461165461617e-08	2
IL10RA	6.280188	3.3095868	9.46232307568223e-09	5.454490446902627e-08	2
SERPINB9	6.2747583	3.2805488	9.949133092401178e-09	5.717270105197878e-08	2
ISG15	6.2671666	1.9225279	8.161130744786655e-09	4.7488784412577467e-08	2
GBP1	6.266354	2.5962758	9.887904882159374e-09	5.6909359095917265e-08	2
IFI6	6.263694	1.7165375	7.722854401582971e-09	4.5295153990236634e-08	2
DOCK10	6.248675	3.5609524	1.1329748266133066e-08	6.460404296815074e-08	2
MEF2C	6.247171	3.015421	1.0945448531671858e-08	6.260593239090947e-08	2
GSN	6.2423797	1.4780022	7.919352014292198e-09	4.632582454656768e-08	2
THEMIS2	6.2264147	4.048408	1.2900755032900798e-08	7.322317948781635e-08	2
FCGR2B	6.2176332	5.839527	1.4064969089517932e-08	7.934360425308207e-08	2
MPEG1	6.2163215	5.7835793	1.3997376512198982e-08	7.90830370222863e-08	2
TNFRSF1B	6.203387	3.1475005	1.3373375360475152e-08	7.578929747999338e-08	2
MPP1	6.2026777	3.8830655	1.4398713577881172e-08	8.109625635749661e-08	2
SIGLEC1	6.202206	7.431005	1.5165620859976262e-08	8.503333699182441e-08	2
PECAM1	6.1772547	2.8237188	1.44195508597768e-08	8.109625635749661e-08	2
LILRB2	6.171799	9.053581	1.7426594797718346e-08	9.71210675378119e-08	2
IRF8	6.146692	3.6771593	1.726240781237118e-08	9.635135478355213e-08	2
FMNL1	6.1363387	3.008429	1.8073695516875038e-08	1.0057576044405611e-07	2
C2	6.1134567	4.384813	2.182807100307768e-08	1.1913548353969279e-07	2
