names	scores	logFC	pvals	adj_pvals	cluster
ESRP1	34.51832	2.340351	4.431417686965965e-173	5.308363594233052e-172	46
TOX3	34.49505	3.7610219	1.548383696384544e-172	1.8488550217313632e-171	46
TRIM28	34.433117	1.8965293	8.901764840744443e-173	1.0648148877439707e-171	46
PVT1	34.423653	2.9460258	3.286321099669897e-172	3.9129036565150162e-171	46
ELF3	34.390602	1.8731059	1.1043789640711328e-172	1.320098889305412e-171	46
PIH1D1	34.362827	1.7934586	2.23865572808289e-172	2.6673801696493146e-171	46
CPSF3L	34.315514	7.128056	3.8920461353874435e-171	4.609573426095701e-170	46
HSPA9	34.117485	1.5531117	6.842331884295468e-171	8.098047061790907e-170	46
CDKN1B	33.81321	2.2102034	2.7457347824124383e-168	3.20775654255993e-167	46
OCIAD1	33.802418	1.362376	6.514075243179207e-169	7.644807478358075e-168	46
SOX4	33.78414	1.4867939	7.999683795021899e-169	9.381727068840191e-168	46
HM13	33.737514	1.4723623	2.5824133733680347e-168	3.0190563595725777e-167	46
MTERF3	33.732716	3.168506	2.1226144637368775e-167	2.4694627723967608e-166	46
RASD1	33.69115	3.119412	4.093191267611452e-167	4.7521539739340853e-166	46
